Barris	Nacionalitat	Total	Genere
les Tres Torres	Veneçuela	12	Home
Sant Gervasi-la Bonanova	Veneçuela	56	Home
Sant Gervasi- Galvany	Veneçuela	87	Home
el Putxet i el Farro	Veneçuela	101	Home
Vallcarca i els Penitents	Veneçuela	58	Home
el Coll	Veneçuela	30	Home
la Salut	Veneçuela	20	Home
la Vila de Gracia	Veneçuela	132	Home
el Campden Grassot i Gracia Nova	Veneçuela	88	Home
el Baix Guinardo	Veneçuela	115	Home
Can Baro	Veneçuela	25	Home
el Guinardo	Veneçuela	113	Home
la Font d en Fargues	Veneçuela	6	Home
el Carmel	Veneçuela	92	Home
la Teixonera	Veneçuela	39	Home
Sant Genis dels Agudells	Veneçuela	38	Home
Montbau	Veneçuela	20	Home
la Vall d Hebron	Veneçuela	15	Home
la Clota	Veneçuela	0	Home
Horta	Veneçuela	51	Home
Vilapicina i la Torre Llobeta	Veneçuela	61	Home
Porta	Veneçuela	58	Home
el Turo de la Peira	Veneçuela	38	Home
Can Peguera	Veneçuela	0	Home
la Guineueta	Veneçuela	15	Home
Canyelles	Veneçuela	8	Home
les Roquetes	Veneçuela	33	Home
Verdun	Veneçuela	26	Home
la Prosperitat	Veneçuela	39	Home
la Trinitat Nova	Veneçuela	20	Home
Torre Baro	Veneçuela	3	Home
Ciutat Meridiana	Veneçuela	18	Home
Vallbona	Veneçuela	2	Home
la Trinitat Vella	Veneçuela	21	Home
Baro de Viver	Veneçuela	5	Home
el Bon Pastor	Veneçuela	29	Home
Sant Andreu	Veneçuela	90	Home
la Sagrera	Veneçuela	79	Home
el Congres i els Indians	Veneçuela	39	Home
Navas	Veneçuela	57	Home
el Camp del Arpa del Clot	Veneçuela	149	Home
el Clot	Veneçuela	67	Home
el Parcila Llacuna del Poblenou	Veneçuela	36	Home
la Vila Olimpica del Poblenou	Veneçuela	6	Home
el Poblenou	Veneçuela	67	Home
Diagonal Mariel Front Maritim del Poblenou	Veneçuela	25	Home
el Besos i el Maresme	Veneçuela	65	Home
Provençals del Poblenou	Veneçuela	47	Home
Sant Marti de Provençals	Veneçuela	47	Home
la Verneda i la Pau	Veneçuela	55	Home
el Raval	Bolívia	113	Home
el Barri Gotic	Bolívia	33	Home
la Barceloneta	Bolívia	24	Home
Sant Pere Santa Caterina i la Ribera	Bolívia	41	Home
el Fort Pienc	Bolívia	47	Home
la Sagrada Familia	Bolívia	134	Home
la Dreta del Eixample	Bolívia	37	Home
l Antiga Esquerra del Eixample	Bolívia	53	Home
la Nova Esquerra del Eixample	Bolívia	77	Home
Sant Antoni	Bolívia	66	Home
el Poble Sec- A E I Parc Montjuïc	Bolívia	92	Home
la Marina del Prat Vermell- A E I Zona Franca	Bolívia	1	Home
la Marina de Port	Bolívia	43	Home
la Font de la Guatlla	Bolívia	17	Home
Hostafrancs	Bolívia	49	Home
la Bordeta	Bolívia	54	Home
Sants- Badal	Bolívia	125	Home
Sants	Bolívia	175	Home
les Corts	Bolívia	38	Home
la Maternitat i Sant Ramon	Bolívia	29	Home
Pedralbes	Bolívia	8	Home
Vallvidrerael Tibidabo i les Planes	Bolívia	2	Home
Sarria	Bolívia	16	Home
les Tres Torres	Bolívia	2	Home
Sant Gervasi-la Bonanova	Bolívia	11	Home
Sant Gervasi- Galvany	Bolívia	20	Home
el Putxet i el Farro	Bolívia	20	Home
Vallcarca i els Penitents	Bolívia	22	Home
el Coll	Bolívia	12	Home
la Salut	Bolívia	17	Home
la Vila de Gracia	Bolívia	47	Home
el Campden Grassot i Gracia Nova	Bolívia	38	Home
el Baix Guinardo	Bolívia	41	Home
Can Baro	Bolívia	14	Home
el Guinardo	Bolívia	85	Home
la Font d en Fargues	Bolívia	7	Home
el Carmel	Bolívia	205	Home
la Teixonera	Bolívia	46	Home
Sant Genis dels Agudells	Bolívia	22	Home
Montbau	Bolívia	4	Home
la Vall d Hebron	Bolívia	0	Home
la Clota	Bolívia	1	Home
Horta	Bolívia	56	Home
Vilapicina i la Torre Llobeta	Bolívia	111	Home
Porta	Bolívia	95	Home
el Turo de la Peira	Bolívia	235	Home
Can Peguera	Bolívia	1	Home
la Guineueta	Bolívia	30	Home
Canyelles	Bolívia	2	Home
les Roquetes	Bolívia	54	Home
Verdun	Bolívia	49	Home
la Prosperitat	Bolívia	104	Home
la Trinitat Nova	Bolívia	29	Home
Torre Baro	Bolívia	12	Home
Ciutat Meridiana	Bolívia	24	Home
Vallbona	Bolívia	2	Home
la Trinitat Vella	Bolívia	30	Home
Baro de Viver	Bolívia	5	Home
el Bon Pastor	Bolívia	47	Home
Sant Andreu	Bolívia	80	Home
la Sagrera	Bolívia	96	Home
el Congres i els Indians	Bolívia	47	Home
Navas	Bolívia	76	Home
el Camp del Arpa del Clot	Bolívia	127	Home
el Clot	Bolívia	51	Home
el Parcila Llacuna del Poblenou	Bolívia	15	Home
la Vila Olimpica del Poblenou	Bolívia	3	Home
el Poblenou	Bolívia	30	Home
Diagonal Mariel Front Maritim del Poblenou	Bolívia	4	Home
el Besos i el Maresme	Bolívia	73	Home
Provençals del Poblenou	Bolívia	27	Home
Sant Marti de Provençals	Bolívia	47	Home
la Verneda i la Pau	Bolívia	57	Home
el Raval	Equador	124	Home
el Barri Gotic	Equador	30	Home
la Barceloneta	Equador	28	Home
Sant Pere Santa Caterina i la Ribera	Equador	46	Home
el Fort Pienc	Equador	53	Home
la Sagrada Familia	Equador	134	Home
la Dreta del Eixample	Equador	38	Home
l Antiga Esquerra del Eixample	Equador	67	Home
la Nova Esquerra del Eixample	Equador	131	Home
Sant Antoni	Equador	54	Home
el Poble Sec- A E I Parc Montjuïc	Equador	93	Home
la Marina del Prat Vermell- A E I Zona Franca	Equador	0	Home
la Marina de Port	Equador	123	Home
la Font de la Guatlla	Equador	23	Home
Hostafrancs	Equador	62	Home
la Bordeta	Equador	48	Home
Sants- Badal	Equador	99	Home
Sants	Equador	149	Home
les Corts	Equador	52	Home
la Maternitat i Sant Ramon	Equador	63	Home
Pedralbes	Equador	7	Home
Vallvidrerael Tibidabo i les Planes	Equador	4	Home
Sarria	Equador	16	Home
les Tres Torres	Equador	3	Home
Sant Gervasi-la Bonanova	Equador	14	Home
Sant Gervasi- Galvany	Equador	24	Home
el Putxet i el Farro	Equador	17	Home
Vallcarca i els Penitents	Equador	19	Home
el Coll	Equador	10	Home
la Salut	Equador	16	Home
la Vila de Gracia	Equador	50	Home
el Campden Grassot i Gracia Nova	Equador	55	Home
el Baix Guinardo	Equador	51	Home
Can Baro	Equador	26	Home
el Guinardo	Equador	93	Home
la Font d en Fargues	Equador	13	Home
el Carmel	Equador	169	Home
la Teixonera	Equador	44	Home
Sant Genis dels Agudells	Equador	11	Home
Montbau	Equador	4	Home
la Vall d Hebron	Equador	3	Home
la Clota	Equador	3	Home
Horta	Equador	56	Home
Vilapicina i la Torre Llobeta	Equador	104	Home
Porta	Equador	118	Home
el Turo de la Peira	Equador	95	Home
Can Peguera	Equador	9	Home
la Guineueta	Equador	37	Home
Canyelles	Equador	10	Home
les Roquetes	Equador	132	Home
Verdun	Equador	67	Home
la Prosperitat	Equador	161	Home
la Trinitat Nova	Equador	50	Home
Torre Baro	Equador	17	Home
Ciutat Meridiana	Equador	141	Home
Vallbona	Equador	8	Home
la Trinitat Vella	Equador	79	Home
Baro de Viver	Equador	6	Home
el Bon Pastor	Equador	57	Home
Sant Andreu	Equador	88	Home
la Sagrera	Equador	83	Home
el Congres i els Indians	Equador	47	Home
Navas	Equador	49	Home
el Camp del Arpa del Clot	Equador	96	Home
el Clot	Equador	41	Home
el Parcila Llacuna del Poblenou	Equador	21	Home
la Vila Olimpica del Poblenou	Equador	3	Home
el Poblenou	Equador	40	Home
Diagonal Mariel Front Maritim del Poblenou	Equador	10	Home
el Besos i el Maresme	Equador	87	Home
Provençals del Poblenou	Equador	47	Home
Sant Marti de Provençals	Equador	69	Home
la Verneda i la Pau	Equador	84	Home
el Raval	Argentina	186	Home
el Barri Gotic	Argentina	119	Home
la Barceloneta	Argentina	93	Home
Sant Pere Santa Caterina i la Ribera	Argentina	154	Home
el Fort Pienc	Argentina	125	Home
la Sagrada Familia	Argentina	144	Home
la Dreta del Eixample	Argentina	136	Home
l Antiga Esquerra del Eixample	Argentina	175	Home
la Nova Esquerra del Eixample	Argentina	195	Home
Sant Antoni	Argentina	107	Home
el Poble Sec- A E I Parc Montjuïc	Argentina	142	Home
la Marina del Prat Vermell- A E I Zona Franca	Argentina	1	Home
la Marina de Port	Argentina	41	Home
la Font de la Guatlla	Argentina	26	Home
Hostafrancs	Argentina	45	Home
la Bordeta	Argentina	32	Home
Sants- Badal	Argentina	41	Home
Sants	Argentina	88	Home
les Corts	Argentina	70	Home
la Maternitat i Sant Ramon	Argentina	39	Home
Pedralbes	Argentina	11	Home
Vallvidrerael Tibidabo i les Planes	Argentina	9	Home
Sarria	Argentina	13	Home
les Tres Torres	Argentina	11	Home
Sant Gervasi-la Bonanova	Argentina	37	Home
Sant Gervasi- Galvany	Argentina	59	Home
el Putxet i el Farro	Argentina	47	Home
Vallcarca i els Penitents	Argentina	38	Home
el Coll	Argentina	19	Home
la Salut	Argentina	20	Home
la Vila de Gracia	Argentina	134	Home
el Campden Grassot i Gracia Nova	Argentina	76	Home
el Baix Guinardo	Argentina	54	Home
Can Baro	Argentina	28	Home
el Guinardo	Argentina	72	Home
la Font d en Fargues	Argentina	5	Home
el Carmel	Argentina	65	Home
la Teixonera	Argentina	29	Home
Sant Genis dels Agudells	Argentina	22	Home
Montbau	Argentina	8	Home
la Vall d Hebron	Argentina	5	Home
la Clota	Argentina	3	Home
Horta	Argentina	28	Home
Vilapicina i la Torre Llobeta	Argentina	40	Home
Porta	Argentina	33	Home
el Turo de la Peira	Argentina	26	Home
Can Peguera	Argentina	2	Home
la Guineueta	Argentina	16	Home
Canyelles	Argentina	2	Home
les Roquetes	Argentina	15	Home
Verdun	Argentina	19	Home
la Prosperitat	Argentina	32	Home
la Trinitat Nova	Argentina	5	Home
Torre Baro	Argentina	3	Home
Ciutat Meridiana	Argentina	12	Home
Vallbona	Argentina	0	Home
la Trinitat Vella	Argentina	18	Home
Baro de Viver	Argentina	4	Home
el Bon Pastor	Argentina	11	Home
Sant Andreu	Argentina	51	Home
la Sagrera	Argentina	50	Home
el Congres i els Indians	Argentina	22	Home
Navas	Argentina	30	Home
el Camp del Arpa del Clot	Argentina	107	Home
el Clot	Argentina	68	Home
el Parcila Llacuna del Poblenou	Argentina	47	Home
la Vila Olimpica del Poblenou	Argentina	27	Home
el Poblenou	Argentina	102	Home
Diagonal Mariel Front Maritim del Poblenou	Argentina	29	Home
el Besos i el Maresme	Argentina	47	Home
Provençals del Poblenou	Argentina	37	Home
Sant Marti de Provençals	Argentina	39	Home
la Verneda i la Pau	Argentina	34	Home
el Raval	Brasil	148	Home
el Barri Gotic	Brasil	98	Home
la Barceloneta	Brasil	98	Home
Sant Pere Santa Caterina i la Ribera	Brasil	84	Home
el Fort Pienc	Brasil	102	Home
la Sagrada Familia	Brasil	135	Home
la Dreta del Eixample	Brasil	123	Home
l Antiga Esquerra del Eixample	Brasil	265	Home
la Nova Esquerra del Eixample	Brasil	200	Home
Sant Antoni	Brasil	104	Home
el Poble Sec- A E I Parc Montjuïc	Brasil	105	Home
la Marina del Prat Vermell- A E I Zona Franca	Brasil	2	Home
la Marina de Port	Brasil	36	Home
la Font de la Guatlla	Brasil	37	Home
Hostafrancs	Brasil	51	Home
la Bordeta	Brasil	34	Home
Sants- Badal	Brasil	49	Home
Sants	Brasil	64	Home
les Corts	Brasil	110	Home
la Maternitat i Sant Ramon	Brasil	39	Home
Pedralbes	Brasil	20	Home
Vallvidrerael Tibidabo i les Planes	Brasil	6	Home
Sarria	Brasil	23	Home
les Tres Torres	Brasil	14	Home
Sant Gervasi-la Bonanova	Brasil	29	Home
Sant Gervasi- Galvany	Brasil	54	Home
el Putxet i el Farro	Brasil	43	Home
Vallcarca i els Penitents	Brasil	29	Home
el Coll	Brasil	10	Home
la Salut	Brasil	19	Home
la Vila de Gracia	Brasil	109	Home
el Campden Grassot i Gracia Nova	Brasil	51	Home
el Baix Guinardo	Brasil	46	Home
Can Baro	Brasil	17	Home
el Guinardo	Brasil	49	Home
la Font d en Fargues	Brasil	7	Home
el Carmel	Brasil	27	Home
la Teixonera	Brasil	10	Home
Sant Genis dels Agudells	Brasil	7	Home
Montbau	Brasil	9	Home
la Vall d Hebron	Brasil	6	Home
la Clota	Brasil	0	Home
Horta	Brasil	14	Home
Vilapicina i la Torre Llobeta	Brasil	32	Home
Porta	Brasil	45	Home
el Turo de la Peira	Brasil	23	Home
Can Peguera	Brasil	3	Home
la Guineueta	Brasil	15	Home
Canyelles	Brasil	3	Home
les Roquetes	Brasil	12	Home
Verdun	Brasil	16	Home
la Prosperitat	Brasil	48	Home
la Trinitat Nova	Brasil	10	Home
Torre Baro	Brasil	5	Home
Ciutat Meridiana	Brasil	12	Home
Vallbona	Brasil	3	Home
la Trinitat Vella	Brasil	23	Home
Baro de Viver	Brasil	1	Home
el Bon Pastor	Brasil	8	Home
Sant Andreu	Brasil	35	Home
la Sagrera	Brasil	23	Home
el Congres i els Indians	Brasil	11	Home
Navas	Brasil	32	Home
el Camp del Arpa del Clot	Brasil	65	Home
el Clot	Brasil	55	Home
el Parcila Llacuna del Poblenou	Brasil	41	Home
la Vila Olimpica del Poblenou	Brasil	19	Home
el Poblenou	Brasil	70	Home
Diagonal Mariel Front Maritim del Poblenou	Brasil	30	Home
el Besos i el Maresme	Brasil	36	Home
Provençals del Poblenou	Brasil	28	Home
Sant Marti de Provençals	Brasil	28	Home
la Verneda i la Pau	Brasil	31	Home
el Raval	RepúblicaDominicana	115	Home
el Barri Gotic	RepúblicaDominicana	16	Home
la Barceloneta	RepúblicaDominicana	9	Home
Sant Pere Santa Caterina i la Ribera	RepúblicaDominicana	71	Home
el Fort Pienc	RepúblicaDominicana	30	Home
la Sagrada Familia	RepúblicaDominicana	65	Home
la Dreta del Eixample	RepúblicaDominicana	22	Home
l Antiga Esquerra del Eixample	RepúblicaDominicana	24	Home
la Nova Esquerra del Eixample	RepúblicaDominicana	53	Home
Sant Antoni	RepúblicaDominicana	48	Home
el Poble Sec- A E I Parc Montjuïc	RepúblicaDominicana	242	Home
la Marina del Prat Vermell- A E I Zona Franca	RepúblicaDominicana	1	Home
la Marina de Port	RepúblicaDominicana	47	Home
la Font de la Guatlla	RepúblicaDominicana	15	Home
Hostafrancs	RepúblicaDominicana	27	Home
la Bordeta	RepúblicaDominicana	40	Home
Sants- Badal	RepúblicaDominicana	73	Home
Sants	RepúblicaDominicana	81	Home
les Corts	RepúblicaDominicana	28	Home
la Maternitat i Sant Ramon	RepúblicaDominicana	25	Home
Pedralbes	RepúblicaDominicana	4	Home
Vallvidrerael Tibidabo i les Planes	RepúblicaDominicana	0	Home
Sarria	RepúblicaDominicana	5	Home
les Tres Torres	RepúblicaDominicana	1	Home
Sant Gervasi-la Bonanova	RepúblicaDominicana	6	Home
Sant Gervasi- Galvany	RepúblicaDominicana	12	Home
el Putxet i el Farro	RepúblicaDominicana	11	Home
Vallcarca i els Penitents	RepúblicaDominicana	16	Home
el Coll	RepúblicaDominicana	5	Home
la Salut	RepúblicaDominicana	6	Home
la Vila de Gracia	RepúblicaDominicana	24	Home
el Campden Grassot i Gracia Nova	RepúblicaDominicana	17	Home
el Baix Guinardo	RepúblicaDominicana	22	Home
Can Baro	RepúblicaDominicana	4	Home
el Guinardo	RepúblicaDominicana	60	Home
la Font d en Fargues	RepúblicaDominicana	3	Home
el Carmel	RepúblicaDominicana	57	Home
la Teixonera	RepúblicaDominicana	13	Home
Sant Genis dels Agudells	RepúblicaDominicana	18	Home
Montbau	RepúblicaDominicana	7	Home
la Vall d Hebron	RepúblicaDominicana	1	Home
la Clota	RepúblicaDominicana	0	Home
Horta	RepúblicaDominicana	52	Home
Vilapicina i la Torre Llobeta	RepúblicaDominicana	81	Home
Porta	RepúblicaDominicana	102	Home
el Turo de la Peira	RepúblicaDominicana	159	Home
Can Peguera	RepúblicaDominicana	5	Home
la Guineueta	RepúblicaDominicana	18	Home
Canyelles	RepúblicaDominicana	6	Home
les Roquetes	RepúblicaDominicana	47	Home
Verdun	RepúblicaDominicana	65	Home
la Prosperitat	RepúblicaDominicana	65	Home
la Trinitat Nova	RepúblicaDominicana	27	Home
Torre Baro	RepúblicaDominicana	8	Home
Ciutat Meridiana	RepúblicaDominicana	129	Home
Vallbona	RepúblicaDominicana	2	Home
la Trinitat Vella	RepúblicaDominicana	41	Home
Baro de Viver	RepúblicaDominicana	3	Home
el Bon Pastor	RepúblicaDominicana	25	Home
Sant Andreu	RepúblicaDominicana	48	Home
la Sagrera	RepúblicaDominicana	78	Home
el Congres i els Indians	RepúblicaDominicana	27	Home
Navas	RepúblicaDominicana	67	Home
el Camp del Arpa del Clot	RepúblicaDominicana	89	Home
el Clot	RepúblicaDominicana	38	Home
el Parcila Llacuna del Poblenou	RepúblicaDominicana	13	Home
la Vila Olimpica del Poblenou	RepúblicaDominicana	1	Home
el Poblenou	RepúblicaDominicana	17	Home
Diagonal Mariel Front Maritim del Poblenou	RepúblicaDominicana	3	Home
el Besos i el Maresme	RepúblicaDominicana	67	Home
Provençals del Poblenou	RepúblicaDominicana	23	Home
Sant Marti de Provençals	RepúblicaDominicana	57	Home
la Verneda i la Pau	RepúblicaDominicana	58	Home
el Raval	EstatsUnits.els	107	Home
el Barri Gotic	EstatsUnits.els	99	Home
la Barceloneta	EstatsUnits.els	55	Home
Sant Pere Santa Caterina i la Ribera	EstatsUnits.els	167	Home
el Fort Pienc	EstatsUnits.els	57	Home
la Sagrada Familia	EstatsUnits.els	98	Home
la Dreta del Eixample	EstatsUnits.els	220	Home
l Antiga Esquerra del Eixample	EstatsUnits.els	137	Home
la Nova Esquerra del Eixample	EstatsUnits.els	82	Home
Sant Antoni	EstatsUnits.els	76	Home
el Poble Sec- A E I Parc Montjuïc	EstatsUnits.els	80	Home
la Marina del Prat Vermell- A E I Zona Franca	EstatsUnits.els	1	Home
la Marina de Port	EstatsUnits.els	5	Home
la Font de la Guatlla	EstatsUnits.els	7	Home
Hostafrancs	EstatsUnits.els	19	Home
la Bordeta	EstatsUnits.els	8	Home
Sants- Badal	EstatsUnits.els	17	Home
Sants	EstatsUnits.els	26	Home
les Corts	EstatsUnits.els	100	Home
la Maternitat i Sant Ramon	EstatsUnits.els	17	Home
Pedralbes	EstatsUnits.els	28	Home
Vallvidrerael Tibidabo i les Planes	EstatsUnits.els	10	Home
Sarria	EstatsUnits.els	87	Home
les Tres Torres	EstatsUnits.els	57	Home
Sant Gervasi-la Bonanova	EstatsUnits.els	50	Home
Sant Gervasi- Galvany	EstatsUnits.els	170	Home
el Putxet i el Farro	EstatsUnits.els	49	Home
Vallcarca i els Penitents	EstatsUnits.els	25	Home
el Coll	EstatsUnits.els	5	Home
la Salut	EstatsUnits.els	14	Home
la Vila de Gracia	EstatsUnits.els	203	Home
el Campden Grassot i Gracia Nova	EstatsUnits.els	40	Home
el Baix Guinardo	EstatsUnits.els	17	Home
Can Baro	EstatsUnits.els	10	Home
el Guinardo	EstatsUnits.els	23	Home
la Font d en Fargues	EstatsUnits.els	4	Home
el Carmel	EstatsUnits.els	16	Home
la Teixonera	EstatsUnits.els	2	Home
Sant Genis dels Agudells	EstatsUnits.els	17	Home
Montbau	EstatsUnits.els	2	Home
la Vall d Hebron	EstatsUnits.els	6	Home
la Clota	EstatsUnits.els	0	Home
Horta	EstatsUnits.els	10	Home
Vilapicina i la Torre Llobeta	EstatsUnits.els	5	Home
Porta	EstatsUnits.els	12	Home
el Turo de la Peira	EstatsUnits.els	5	Home
Can Peguera	EstatsUnits.els	2	Home
la Guineueta	EstatsUnits.els	2	Home
Canyelles	EstatsUnits.els	0	Home
les Roquetes	EstatsUnits.els	2	Home
Verdun	EstatsUnits.els	2	Home
la Prosperitat	EstatsUnits.els	5	Home
la Trinitat Nova	EstatsUnits.els	1	Home
Torre Baro	EstatsUnits.els	0	Home
Ciutat Meridiana	EstatsUnits.els	1	Home
Vallbona	EstatsUnits.els	0	Home
la Trinitat Vella	EstatsUnits.els	2	Home
Baro de Viver	EstatsUnits.els	0	Home
el Bon Pastor	EstatsUnits.els	1	Home
Sant Andreu	EstatsUnits.els	22	Home
la Sagrera	EstatsUnits.els	14	Home
el Congres i els Indians	EstatsUnits.els	4	Home
Navas	EstatsUnits.els	12	Home
el Camp del Arpa del Clot	EstatsUnits.els	22	Home
el Clot	EstatsUnits.els	16	Home
el Parcila Llacuna del Poblenou	EstatsUnits.els	40	Home
la Vila Olimpica del Poblenou	EstatsUnits.els	28	Home
el Poblenou	EstatsUnits.els	59	Home
Diagonal Mariel Front Maritim del Poblenou	EstatsUnits.els	26	Home
el Besos i el Maresme	EstatsUnits.els	4	Home
Provençals del Poblenou	EstatsUnits.els	12	Home
Sant Marti de Provençals	EstatsUnits.els	22	Home
la Verneda i la Pau	EstatsUnits.els	5	Home
el Raval	Mèxic	110	Home
el Barri Gotic	Mèxic	51	Home
la Barceloneta	Mèxic	39	Home
Sant Pere Santa Caterina i la Ribera	Mèxic	72	Home
el Fort Pienc	Mèxic	57	Home
la Sagrada Familia	Mèxic	128	Home
la Dreta del Eixample	Mèxic	98	Home
l Antiga Esquerra del Eixample	Mèxic	115	Home
la Nova Esquerra del Eixample	Mèxic	95	Home
Sant Antoni	Mèxic	72	Home
el Poble Sec- A E I Parc Montjuïc	Mèxic	56	Home
la Marina del Prat Vermell- A E I Zona Franca	Mèxic	0	Home
la Marina de Port	Mèxic	10	Home
la Font de la Guatlla	Mèxic	15	Home
Hostafrancs	Mèxic	21	Home
la Bordeta	Mèxic	11	Home
Sants- Badal	Mèxic	17	Home
Sants	Mèxic	57	Home
les Corts	Mèxic	48	Home
la Maternitat i Sant Ramon	Mèxic	46	Home
Pedralbes	Mèxic	22	Home
Vallvidrerael Tibidabo i les Planes	Mèxic	1	Home
Sarria	Mèxic	18	Home
les Tres Torres	Mèxic	19	Home
Sant Gervasi-la Bonanova	Mèxic	23	Home
Sant Gervasi- Galvany	Mèxic	61	Home
el Putxet i el Farro	Mèxic	22	Home
Vallcarca i els Penitents	Mèxic	18	Home
el Coll	Mèxic	8	Home
la Salut	Mèxic	15	Home
la Vila de Gracia	Mèxic	106	Home
el Campden Grassot i Gracia Nova	Mèxic	54	Home
el Baix Guinardo	Mèxic	22	Home
Can Baro	Mèxic	1	Home
el Guinardo	Mèxic	31	Home
la Font d en Fargues	Mèxic	1	Home
el Carmel	Mèxic	15	Home
la Teixonera	Mèxic	2	Home
Sant Genis dels Agudells	Mèxic	16	Home
Montbau	Mèxic	2	Home
la Vall d Hebron	Mèxic	9	Home
la Clota	Mèxic	2	Home
Horta	Mèxic	4	Home
Vilapicina i la Torre Llobeta	Mèxic	8	Home
Porta	Mèxic	18	Home
el Turo de la Peira	Mèxic	3	Home
Can Peguera	Mèxic	0	Home
la Guineueta	Mèxic	7	Home
Canyelles	Mèxic	4	Home
les Roquetes	Mèxic	9	Home
Verdun	Mèxic	10	Home
la Prosperitat	Mèxic	7	Home
la Trinitat Nova	Mèxic	2	Home
Torre Baro	Mèxic	0	Home
Ciutat Meridiana	Mèxic	5	Home
Vallbona	Mèxic	0	Home
la Trinitat Vella	Mèxic	1	Home
Baro de Viver	Mèxic	0	Home
el Bon Pastor	Mèxic	3	Home
Sant Andreu	Mèxic	17	Home
la Sagrera	Mèxic	19	Home
el Congres i els Indians	Mèxic	11	Home
Navas	Mèxic	14	Home
el Camp del Arpa del Clot	Mèxic	37	Home
el Clot	Mèxic	22	Home
el Parcila Llacuna del Poblenou	Mèxic	24	Home
la Vila Olimpica del Poblenou	Mèxic	14	Home
el Poblenou	Mèxic	39	Home
Diagonal Mariel Front Maritim del Poblenou	Mèxic	15	Home
el Besos i el Maresme	Mèxic	16	Home
Provençals del Poblenou	Mèxic	18	Home
Sant Marti de Provençals	Mèxic	9	Home
la Verneda i la Pau	Mèxic	4	Home
el Raval	Xile	115	Home
el Barri Gotic	Xile	68	Home
la Barceloneta	Xile	37	Home
Sant Pere Santa Caterina i la Ribera	Xile	75	Home
el Fort Pienc	Xile	59	Home
la Sagrada Familia	Xile	91	Home
la Dreta del Eixample	Xile	77	Home
l Antiga Esquerra del Eixample	Xile	80	Home
la Nova Esquerra del Eixample	Xile	94	Home
Sant Antoni	Xile	57	Home
el Poble Sec- A E I Parc Montjuïc	Xile	83	Home
la Marina del Prat Vermell- A E I Zona Franca	Xile	1	Home
la Marina de Port	Xile	19	Home
la Font de la Guatlla	Xile	19	Home
Hostafrancs	Xile	23	Home
la Bordeta	Xile	16	Home
Sants- Badal	Xile	26	Home
Sants	Xile	51	Home
les Corts	Xile	40	Home
la Maternitat i Sant Ramon	Xile	25	Home
Pedralbes	Xile	8	Home
Vallvidrerael Tibidabo i les Planes	Xile	2	Home
Sarria	Xile	6	Home
les Tres Torres	Xile	3	Home
Sant Gervasi-la Bonanova	Xile	24	Home
Sant Gervasi- Galvany	Xile	43	Home
el Putxet i el Farro	Xile	30	Home
Vallcarca i els Penitents	Xile	27	Home
el Coll	Xile	6	Home
la Salut	Xile	14	Home
la Vila de Gracia	Xile	104	Home
el Campden Grassot i Gracia Nova	Xile	48	Home
el Baix Guinardo	Xile	22	Home
Can Baro	Xile	20	Home
el Guinardo	Xile	36	Home
la Font d en Fargues	Xile	6	Home
el Carmel	Xile	32	Home
la Teixonera	Xile	24	Home
Sant Genis dels Agudells	Xile	11	Home
Montbau	Xile	17	Home
la Vall d Hebron	Xile	6	Home
la Clota	Xile	0	Home
Horta	Xile	26	Home
Vilapicina i la Torre Llobeta	Xile	17	Home
Porta	Xile	18	Home
el Turo de la Peira	Xile	19	Home
Can Peguera	Xile	8	Home
la Guineueta	Xile	2	Home
Canyelles	Xile	4	Home
les Roquetes	Xile	16	Home
Verdun	Xile	11	Home
la Prosperitat	Xile	20	Home
la Trinitat Nova	Xile	5	Home
Torre Baro	Xile	5	Home
Ciutat Meridiana	Xile	5	Home
Vallbona	Xile	0	Home
la Trinitat Vella	Xile	6	Home
Baro de Viver	Xile	2	Home
el Bon Pastor	Xile	2	Home
Sant Andreu	Xile	41	Home
la Sagrera	Xile	19	Home
el Congres i els Indians	Xile	10	Home
Navas	Xile	19	Home
el Camp del Arpa del Clot	Xile	59	Home
el Clot	Xile	41	Home
el Parcila Llacuna del Poblenou	Xile	23	Home
la Vila Olimpica del Poblenou	Xile	9	Home
el Poblenou	Xile	42	Home
Diagonal Mariel Front Maritim del Poblenou	Xile	5	Home
el Besos i el Maresme	Xile	21	Home
Provençals del Poblenou	Xile	15	Home
Sant Marti de Provençals	Xile	31	Home
la Verneda i la Pau	Xile	24	Home
el Raval	Paraguai	38	Home
el Barri Gotic	Paraguai	17	Home
la Barceloneta	Paraguai	7	Home
Sant Pere Santa Caterina i la Ribera	Paraguai	13	Home
el Fort Pienc	Paraguai	12	Home
la Sagrada Familia	Paraguai	60	Home
la Dreta del Eixample	Paraguai	15	Home
l Antiga Esquerra del Eixample	Paraguai	23	Home
la Nova Esquerra del Eixample	Paraguai	33	Home
Sant Antoni	Paraguai	21	Home
el Poble Sec- A E I Parc Montjuïc	Paraguai	22	Home
la Marina del Prat Vermell- A E I Zona Franca	Paraguai	5	Home
la Marina de Port	Paraguai	6	Home
la Font de la Guatlla	Paraguai	8	Home
Hostafrancs	Paraguai	16	Home
la Bordeta	Paraguai	19	Home
Sants- Badal	Paraguai	43	Home
Sants	Paraguai	37	Home
les Corts	Paraguai	24	Home
la Maternitat i Sant Ramon	Paraguai	27	Home
Pedralbes	Paraguai	2	Home
Vallvidrerael Tibidabo i les Planes	Paraguai	0	Home
