Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
522.Vallvidrera,elTibidaboilesPlanes	2.358	2.277	2.004	60	53	36	31	4	12	6	1	22	2	2	5	10	2	5	4	18		11	9	0	0	2		50	2	1	4	6	2	4	9	6	0	10	1	2	0	0	0	1	2		18	2	1	0	1	0	2	5	2	0	0	5		2	0
523.Sarrià	11.732	11.053	9.947	235	352	90	78	10	44	38	32	27	15	34	14	11	11	13	9	93		120	69	23	3	25		313	43	9	18	22	16	16	13	23	5	87	18	6	6	4	9	0	18		243	57	16	14	16	3	6	0	64	1	13	53		2	1
524.lesTresTorres	7.787	7.438	7.017	107	93	37	36	11	20	12	5	17	6	6	7	14	1	1	15	33		53	31	6	1	15		168	11	3	11	12	2	3	11	14	1	57	19	3	5	5	4	3	4		122	20	3	11	14	1	2	0	40	0	4	27		6	0
525.SantGervasi-laBonanova	11.965	11.210	10.456	193	142	60	54	40	58	36	12	28	9	3	5	19	4	12	22	57		98	48	7	5	38		361	33	4	37	56	11	14	37	29	6	50	23	24	4	6	5	7	15		290	123	29	18	20	8	5	5	15	3	13	51		6	0
526.SantGervasi-Galvany	21.610	20.383	18.767	478	320	133	165	20	72	70	30	57	16	9	37	30	23	15	42	99		95	33	6	2	54		719	61	17	40	87	20	24	59	54	12	170	61	43	9	12	11	10	29		405	90	43	44	41	1	8	0	32	3	29	114		7	1
527.elPutxetielFarró	13.593	12.668	11.588	403	188	80	80	23	40	54	11	33	26	11	8	20	11	12	17	63		104	47	4	8	45		546	80	4	48	101	20	17	47	43	11	49	22	30	20	15	8	12	19		268	86	34	15	33	0	2	2	28	1	20	47		4	3
628.VallcarcaielsPenitents	7.406	6.789	6.232	156	66	56	56	31	27	42	21	13	16	6	11	10	6	3	6	31		42	28	0	2	12		374	32	12	37	58	22	19	38	29	16	25	18	27	13	6	1	5	16		198	48	70	8	44	0	0	5	6	0	0	17		2	1
629.elColl	3.490	3.197	2.940	83	32	30	18	24	17	6	7	3	7	3	3	4	1	3	4	12		40	30	3	4	3		184	21	22	12	30	12	10	19	10	5	5	8	6	10	6	2	3	3		69	3	36	5	6	4	3	1	4	0	2	5		0	0
630.laSalut	6.212	5.664	5.193	161	65	38	39	27	22	26	5	11	18	1	6	8	2	5	8	29		133	92	12	5	24		243	33	10	16	20	17	16	20	19	6	14	15	14	6	7	7	10	13		166	47	32	5	31	3	7	0	6	4	5	26		4	2
631.laViladeGràcia	23.113	20.637	17.772	946	512	310	267	46	39	130	32	110	38	17	39	72	45	56	36	170		253	130	19	27	77		1.351	150	9	119	132	47	50	134	109	24	203	106	104	29	23	16	27	69		840	171	148	28	164	47	13	7	31	40	30	161		25	7
632.elCampdenGrassotiGràciaNova	16.183	14.681	13.467	431	184	98	77	76	27	79	17	25	23	21	16	11	15	18	9	87		116	65	7	9	35		746	95	32	72	88	38	55	76	51	17	40	54	48	10	21	8	15	26		630	167	108	14	99	30	37	24	7	80	18	46		9	1
733.elBaixGuinardó	11.984	10.795	10.074	319	86	65	35	40	14	42	14	20	8	4	6	8	8	5	3	44		110	66	13	15	16		722	95	26	101	115	41	51	54	46	22	17	22	22	36	26	10	23	15		353	131	71	2	26	3	31	6	3	40	11	29		1	3
734.CanBaró	4.354	3.902	3.608	91	44	17	20	17	17	9	11	15	4	8	1	2	3	4	2	29		66	23	11	7	25		254	27	26	26	25	14	26	28	17	4	10	1	20	5	7	1	3	14		130	40	45	1	10	2	4	3	2	2	4	17		1	1
735.elGuinardó	17.432	15.632	14.602	360	142	66	48	89	54	48	45	19	14	28	5	19	6	10	2	75		191	111	17	18	45		1.138	191	95	141	113	85	93	72	49	60	23	31	36	76	24	25	9	15		469	135	116	11	57	7	47	30	14	15	5	32		2	0
736.laFontdenFargues	4.494	4.334	4.189	47	20	15	16	7	4	6	4	6	1	0	1	6	0	3	0	9		20	9	3	3	5		103	17	13	1	6	7	13	5	7	3	4	1	6	4	7	5	2	2		37	8	1	2	10	0	5	4	2	0	0	5		0	0
737.elCarmel	15.279	13.321	12.690	183	50	33	23	74	56	34	55	10	21	24	6	10	2	6	3	41		243	160	14	24	45		1.161	109	128	119	92	205	169	65	27	57	16	15	32	44	15	37	16	15		552	89	227	12	49	6	62	45	0	16	4	42		2	0
738.laTeixonera	5.663	4.997	4.743	81	16	10	8	26	19	21	27	5	6	6	5	1	1	3	0	19		93	52	3	4	34		391	43	34	40	39	46	44	29	10	13	2	2	24	19	5	26	9	6		181	14	73	3	39	11	21	4	1	6	1	8		0	1
739.SantGenísdelsAgudells	3.471	2.987	2.835	34	13	8	13	10	16	8	21	2	4	1	2	1	0	1	4	14		60	36	5	1	18		313	21	32	63	38	22	11	22	7	18	17	16	11	15	2	4	2	12		111	19	15	0	19	1	20	0	1	9	0	27		0	0
740.Montbau	2.337	2.107	2.010	41	3	4	2	6	10	4	10	3	0	1	1	2	3	1	0	6		34	19	3	2	10		146	25	12	15	20	4	4	8	9	7	2	2	17	8	2	3	4	4		50	7	20	0	8	1	2	4	1	3	0	4		0	0
741.laValldHebron	2.741	2.608	2.494	28	9	2	7	17	6	5	10	3	4	9	0	0	2	4	0	8		11	7	0	1	3		98	20	8	10	15	0	3	5	6	1	6	9	6	5	2	0	1	1		24	6	0	1	12	1	0	1	0	0	0	3		0	0
742.laClota	355	305	299	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1		5	3	2	0	0		11	1	0	0	0	1	3	3	0	0	0	2	0	0	1	0	0	0		34	0	19	0	0	11	3	0	0	0	0	1		0	0
743.Horta	12.827	11.487	11.043	121	31	22	19	91	16	29	49	7	11	6	4	4	1	4	2	27		232	160	19	19	34		654	94	100	76	51	56	56	28	14	52	10	4	26	16	22	18	8	23		448	111	138	42	26	7	55	16	1	10	3	39		3	3
844.VilapicinailaTorreLlobeta	11.917	10.462	10.039	125	41	17	14	45	23	35	47	11	9	21	12	5	3	0	0	15		108	64	11	10	23		831	118	70	88	61	111	104	40	32	81	5	8	17	34	21	29	2	10		514	221	120	9	19	6	52	60	0	0	8	19		0	2
845.Porta	12.343	10.251	9.836	106	30	15	15	77	45	23	38	7	8	8	0	2	2	5	0	34		306	200	24	22	60		1.092	124	230	135	58	95	118	33	45	102	12	18	18	45	16	21	7	15		692	129	193	19	91	9	109	110	3	6	4	19		0	2
846.elTuródelaPeira	7.321	5.771	5.573	46	7	18	3	38	14	11	35	6	0	4	0	2	1	2	0	11		160	99	17	22	22		896	93	55	76	38	235	95	26	23	159	5	3	19	27	10	16	2	14		493	71	228	0	28	7	96	47	0	4	2	10		0	1
847.CanPeguera	1.059	961	946	3	2	0	0	1	2	1	3	0	1	0	1	1	0	0	0	0		27	20	1	0	6		54	3	9	4	0	1	9	2	3	5	2	0	8	0	3	1	3	1		17	3	2	0	4	0	3	2	0	0	0	3		0	0
